"abbreviation","city","state"
"TOR","TORONTO","ONTARIO"
"BOS","BOSTON","MASSACHUSETTS"
"BRK","BROOKLYN","NEW YORK"
"PHI","PHILADELPHIA","PENNSYLVANIA"
"NYK","NEW YORK","NEW YORK"
"CLE","CLEVELAND","OHIO"
"CHI","CHICAGO","ILLINOIS"
"MIL","MILWAUKEE","WISCOSIN"
"IND","INDIANAPOLIS","INDIANA"
"DET","DETROIT","MICHIGAN"
"ATL","ATLANTA","GEORGIA"
"WAS","WASHINGTON DC","	"
"MIA","MIAMI","FLORIDA"
"CHO","CHARLOTTE","NORTH CAROLINA"
"CHA","CHARLOTTE","NORTH CAROLINA"
"CHH","CHARLOTTE","NORTH CAROLINA"
"ORL","ORLANDO","FLORIDA"
"POR","ORTLAND","OREGON"
"OKC","OKLAHOMA CITY","OKLAHOMA"
"UTA","SALT LAKE+CITY","UTAH"
"DEN","DENVER","COLORADO"
"MIN","MINNEAPOLIS","MINNESOTA"
"GSW","SAN FRANCISCO","CALIFORNIA"
"LAC","LOS ANGELES","CALIFORNIA"
"PHO","PHOENIX","ARIZONA"
"SAC","SACRAMENTO","CALIFORNIA"
"LAL","LOS ANGELES","CALIFORNIA"
"HOU","HOUSTON","TEXAS"
"SAS","SAN ANTONIO","TEXAS"
"MEM","MEMPHIS","TENNESSEE"
"DAL","DALLAS","TEXAS"
"NOP","NEW ORLEANS","LOUISIANA"
"NOH","NEW ORLEANS","LOUISIANA"
"NOK","NEW ORLEANS","LOUISIANA"
"VAN","VANCOUVER","BRITISH COLUMBIA"
"KCK","KANSAS CITY","MISSOURI"
"SDC","SAN DIEGO","CALIFORNIA"
"SEA","SEATTLE","WASHINGTON"
"WSB","WASHINGTON DC",""
"NJN","EAST RUTHERFORD","NEW JERSEY"
